,Importers,Country,Product,Quantity,Year,Month,Unit,Values
106,Singapore,Australia,070200,148,2019,M03,Tons,68
107,"Hong Kong, China",Australia,070200,106,2019,M03,Tons,25
108,Qatar,Australia,070200,55,2019,M03,Tons,0
109,Brunei Darussalam,Australia,070200,3,2019,M03,Tons,15
110,Indonesia,Australia,070200,263,2019,M03,Tons,10
111,Papua New Guinea,Australia,070200,78,2019,M03,Tons,2
112,Kuwait,Australia,070200,107,2019,M03,Tons,0
113,Fiji,Australia,070200,0,2019,M03,Tons,5
114,Nauru,Australia,070200,4,2019,M03,Tons,4
115,New Caledonia,Australia,070200,0,2019,M03,Tons,26
116,Vanuatu,Australia,070200,0,2019,M03,Tons,0
117,New Zealand,Australia,070200,0,2019,M03,Tons,0
118,French Polynesia,Australia,070200,26,2019,M03,Tons,14
119,Solomon Islands,Australia,070200,0,2019,M03,Tons,0
120,Malaysia,Australia,070200,1042,2019,M04,Tons,3
121,Singapore,Australia,070200,111,2019,M04,Tons,70
122,"Hong Kong, China",Australia,070200,285,2019,M04,Tons,15
123,Qatar,Australia,070200,53,2019,M04,Tons,0
124,Brunei Darussalam,Australia,070200,28,2019,M04,Tons,11
125,Indonesia,Australia,070200,264,2019,M04,Tons,11
126,Papua New Guinea,Australia,070200,106,2019,M04,Tons,3
127,Kuwait,Australia,070200,51,2019,M04,Tons,0
128,Fiji,Australia,070200,0,2019,M04,Tons,10
129,Nauru,Australia,070200,4,2019,M04,Tons,5
130,New Caledonia,Australia,070200,4,2019,M04,Tons,41
131,Vanuatu,Australia,070200,0,2019,M04,Tons,1
132,New Zealand,Australia,070200,0,2019,M04,Tons,0
133,French Polynesia,Australia,070200,13,2019,M04,Tons,1
134,Solomon Islands,Australia,070200,6,2019,M04,Tons,0
135,Malaysia,Australia,070200,796,2019,M05,Tons,41
136,Singapore,Australia,070200,321,2019,M05,Tons,84
137,"Hong Kong, China",Australia,070200,299,2019,M05,Tons,33
138,Qatar,Australia,070200,105,2019,M05,Tons,0
139,Brunei Darussalam,Australia,070200,55,2019,M05,Tons,14
140,Indonesia,Australia,070200,363,2019,M05,Tons,11
141,Papua New Guinea,Australia,070200,78,2019,M05,Tons,3
142,Kuwait,Australia,070200,0,2019,M05,Tons,0
143,Fiji,Australia,070200,12,2019,M05,Tons,8
144,Nauru,Australia,070200,2,2019,M05,Tons,5
145,New Caledonia,Australia,070200,0,2019,M05,Tons,30
146,Vanuatu,Australia,070200,0,2019,M05,Tons,0
147,New Zealand,Australia,070200,0,2019,M05,Tons,0
148,French Polynesia,Australia,070200,13,2019,M05,Tons,0
149,Solomon Islands,Australia,070200,0,2019,M05,Tons,0
150,Malaysia,Australia,070200,757,2019,M06,Tons,4
151,Singapore,Australia,070200,292,2019,M06,Tons,51
152,"Hong Kong, China",Australia,070200,268,2019,M06,Tons,32
153,Qatar,Australia,070200,96,2019,M06,Tons,0
154,Brunei Darussalam,Australia,070200,54,2019,M06,Tons,11
155,Indonesia,Australia,070200,391,2019,M06,Tons,10
156,Papua New Guinea,Australia,070200,191,2019,M06,Tons,2
157,Kuwait,Australia,070200,28,2019,M06,Tons,0
158,Fiji,Australia,070200,0,2019,M06,Tons,9
159,Nauru,Australia,070200,3,2019,M06,Tons,4
160,New Caledonia,Australia,070200,0,2019,M06,Tons,16
161,Vanuatu,Australia,070200,0,2019,M06,Tons,2
162,New Zealand,Australia,070200,0,2019,M06,Tons,0
163,French Polynesia,Australia,070200,26,2019,M06,Tons,0
164,Solomon Islands,Australia,070200,2,2019,M06,Tons,0
165,Malaysia,Australia,070200,375,2019,M07,Tons,2
166,Singapore,Australia,070200,197,2019,M07,Tons,65
167,"Hong Kong, China",Australia,070200,260,2019,M07,Tons,40
168,Qatar,Australia,070200,63,2019,M07,Tons,1
169,Brunei Darussalam,Australia,070200,28,2019,M07,Tons,11
170,Indonesia,Australia,070200,78,2019,M07,Tons,0
171,Papua New Guinea,Australia,070200,129,2019,M07,Tons,4
172,Kuwait,Australia,070200,103,2019,M07,Tons,0
173,Fiji,Australia,070200,0,2019,M07,Tons,6
174,Nauru,Australia,070200,7,2019,M07,Tons,3
175,New Caledonia,Australia,070200,0,2019,M07,Tons,0
176,Vanuatu,Australia,070200,13,2019,M07,Tons,3
177,New Zealand,Australia,070200,25,2019,M07,Tons,42
178,French Polynesia,Australia,070200,0,2019,M07,Tons,3
179,Solomon Islands,Australia,070200,0,2019,M07,Tons,0
180,Malaysia,Australia,070200,45,2019,M08,Tons,1
181,Singapore,Australia,070200,94,2019,M08,Tons,91
182,"Hong Kong, China",Australia,070200,159,2019,M08,Tons,42
183,Qatar,Australia,070200,0,2019,M08,Tons,0
184,Brunei Darussalam,Australia,070200,2,2019,M08,Tons,11
185,Indonesia,Australia,070200,0,2019,M08,Tons,0
186,Papua New Guinea,Australia,070200,92,2019,M08,Tons,2
187,Kuwait,Australia,070200,52,2019,M08,Tons,0
188,Fiji,Australia,070200,3,2019,M08,Tons,18
189,Nauru,Australia,070200,5,2019,M08,Tons,4
190,New Caledonia,Australia,070200,1,2019,M08,Tons,16
191,Vanuatu,Australia,070200,0,2019,M08,Tons,1
192,New Zealand,Australia,070200,25,2019,M08,Tons,271
193,French Polynesia,Australia,070200,0,2019,M08,Tons,4
194,Solomon Islands,Australia,070200,12,2019,M08,Tons,0
195,Malaysia,Australia,070200,10,2019,M09,Tons,1
196,Singapore,Australia,070200,23,2019,M09,Tons,83
197,"Hong Kong, China",Australia,070200,9,2019,M09,Tons,34
198,Qatar,Australia,070200,0,2019,M09,Tons,0
199,Brunei Darussalam,Australia,070200,2,2019,M09,Tons,11
200,Indonesia,Australia,070200,0,2019,M09,Tons,0
201,Papua New Guinea,Australia,070200,66,2019,M09,Tons,3
202,Kuwait,Australia,070200,0,2019,M09,Tons,0
203,Fiji,Australia,070200,0,2019,M09,Tons,9
204,Nauru,Australia,070200,3,2019,M09,Tons,3
205,New Caledonia,Australia,070200,4,2019,M09,Tons,0
206,Vanuatu,Australia,070200,0,2019,M09,Tons,0
207,New Zealand,Australia,070200,0,2019,M09,Tons,20
208,French Polynesia,Australia,070200,0,2019,M09,Tons,0
209,Solomon Islands,Australia,070200,13,2019,M09,Tons,0
210,Malaysia,Australia,070200,10,2019,M10,Tons,2
211,Singapore,Australia,070200,52,2019,M10,Tons,79
212,"Hong Kong, China",Australia,070200,9,2019,M10,Tons,48
213,Qatar,Australia,070200,0,2019,M10,Tons,0
214,Brunei Darussalam,Australia,070200,3,2019,M10,Tons,11
215,Indonesia,Australia,070200,12,2019,M10,Tons,0
