,Importers,Country,Product,Quantity,Year,Month,Unit,Values
1438,Fiji,Australia,070610,0,2019,M11,Kilograms,19
1439,Japan,Australia,070610,0,2019,M11,Kilograms,149
1440,"Hong Kong, China",Australia,070610,527,2019,M12,Kilograms,203
1441,Malaysia,Australia,070610,706,2019,M12,Kilograms,770
1442,Brunei Darussalam,Australia,070610,0,2019,M12,Kilograms,21
1443,Nauru,Australia,070610,415,2019,M12,Kilograms,1
1444,Papua New Guinea,Australia,070610,326,2019,M12,Kilograms,16
1445,Philippines,Australia,070610,0,2019,M12,Kilograms,0
1446,Saudi Arabia,Australia,070610,0,2019,M12,Kilograms,931
1447,Singapore,Australia,070610,690,2019,M12,Kilograms,727
1448,Fiji,Australia,070610,0,2019,M12,Kilograms,24
1449,Japan,Australia,070610,0,2019,M12,Kilograms,100
1450,"Hong Kong, China",Australia,070610,784,2020,M01,Kilograms,157
1451,Malaysia,Australia,070610,518,2020,M01,Kilograms,703
1452,Brunei Darussalam,Australia,070610,258,2020,M01,Kilograms,9
1453,Nauru,Australia,070610,425,2020,M01,Kilograms,1
1454,Papua New Guinea,Australia,070610,195,2020,M01,Kilograms,19
1455,Philippines,Australia,070610,0,2020,M01,Kilograms,0
1456,Saudi Arabia,Australia,070610,0,2020,M01,Kilograms,637
1457,Singapore,Australia,070610,0,2020,M01,Kilograms,624
1458,Fiji,Australia,070610,0,2020,M01,Kilograms,1
1459,Japan,Australia,070610,3000,2020,M01,Kilograms,116
1460,"Hong Kong, China",Australia,070610,1513,2020,M02,Kilograms,207
1461,Malaysia,Australia,070610,628,2020,M02,Kilograms,591
1462,Brunei Darussalam,Australia,070610,296,2020,M02,Kilograms,15
1463,Nauru,Australia,070610,475,2020,M02,Kilograms,1
1464,Papua New Guinea,Australia,070610,260,2020,M02,Kilograms,20
1465,Philippines,Australia,070610,0,2020,M02,Kilograms,0
1466,Saudi Arabia,Australia,070610,0,2020,M02,Kilograms,906
1467,Singapore,Australia,070610,0,2020,M02,Kilograms,800
1468,Fiji,Australia,070610,0,2020,M02,Kilograms,63
1469,Japan,Australia,070610,0,2020,M02,Kilograms,70
1470,"Hong Kong, China",Australia,070610,1135,2020,M03,Kilograms,182
1471,Malaysia,Australia,070610,658,2020,M03,Kilograms,568
1472,Brunei Darussalam,Australia,070610,472,2020,M03,Kilograms,17
1473,Nauru,Australia,070610,335,2020,M03,Kilograms,1
1474,Papua New Guinea,Australia,070610,0,2020,M03,Kilograms,26
1475,Philippines,Australia,070610,0,2020,M03,Kilograms,0
1476,Saudi Arabia,Australia,070610,0,2020,M03,Kilograms,665
1477,Singapore,Australia,070610,0,2020,M03,Kilograms,527
1478,Fiji,Australia,070610,0,2020,M03,Kilograms,13
1479,Japan,Australia,070610,0,2020,M03,Kilograms,66
1480,Papua New Guinea,Australia,070700,5457,2018,M08,Kilograms,1
1481,Saudi Arabia,Australia,070700,1095,2018,M08,Kilograms,0
1482,Singapore,Australia,070700,6900,2018,M08,Kilograms,3
1483,Fiji,Australia,070700,0,2018,M08,Kilograms,0
1484,"Hong Kong, China",Australia,070700,0,2018,M08,Kilograms,2
1485,Malaysia,Australia,070700,0,2018,M08,Kilograms,2
1486,Nauru,Australia,070700,1400,2018,M08,Kilograms,0
1487,New Zealand,Australia,070700,0,2018,M08,Kilograms,13
1488,Papua New Guinea,Australia,070700,7017,2018,M09,Kilograms,1
1489,Saudi Arabia,Australia,070700,1050,2018,M09,Kilograms,0
1490,Singapore,Australia,070700,4860,2018,M09,Kilograms,4
1491,Fiji,Australia,070700,3855,2018,M09,Kilograms,0
1492,"Hong Kong, China",Australia,070700,0,2018,M09,Kilograms,2
1493,Malaysia,Australia,070700,0,2018,M09,Kilograms,1
1494,Nauru,Australia,070700,0,2018,M09,Kilograms,0
1495,New Zealand,Australia,070700,0,2018,M09,Kilograms,0
1496,Papua New Guinea,Australia,070700,13632,2018,M10,Kilograms,1
1497,Saudi Arabia,Australia,070700,915,2018,M10,Kilograms,0
1498,Singapore,Australia,070700,6300,2018,M10,Kilograms,1
1499,Fiji,Australia,070700,0,2018,M10,Kilograms,0
1500,"Hong Kong, China",Australia,070700,0,2018,M10,Kilograms,1
1501,Malaysia,Australia,070700,0,2018,M10,Kilograms,2
1502,Nauru,Australia,070700,204,2018,M10,Kilograms,0
1503,New Zealand,Australia,070700,0,2018,M10,Kilograms,0
1504,Papua New Guinea,Australia,070700,272,2018,M11,Kilograms,1
1505,Saudi Arabia,Australia,070700,2460,2018,M11,Kilograms,2
1506,Singapore,Australia,070700,15620,2018,M11,Kilograms,1
1507,Fiji,Australia,070700,0,2018,M11,Kilograms,0
1508,"Hong Kong, China",Australia,070700,0,2018,M11,Kilograms,1
1509,Malaysia,Australia,070700,0,2018,M11,Kilograms,1
1510,Nauru,Australia,070700,0,2018,M11,Kilograms,0
1511,New Zealand,Australia,070700,0,2018,M11,Kilograms,0
1512,Papua New Guinea,Australia,070700,5696,2018,M12,Kilograms,1
1513,Saudi Arabia,Australia,070700,2370,2018,M12,Kilograms,0
1514,Singapore,Australia,070700,9645,2018,M12,Kilograms,1
1515,Fiji,Australia,070700,0,2018,M12,Kilograms,1
1516,"Hong Kong, China",Australia,070700,0,2018,M12,Kilograms,1
1517,Malaysia,Australia,070700,0,2018,M12,Kilograms,1
1518,Nauru,Australia,070700,1486,2018,M12,Kilograms,0
1519,New Zealand,Australia,070700,144,2018,M12,Kilograms,0
1520,Papua New Guinea,Australia,070700,11250,2019,M01,Kilograms,1
1521,Saudi Arabia,Australia,070700,1260,2019,M01,Kilograms,0
1522,Singapore,Australia,070700,21360,2019,M01,Kilograms,1
1523,Fiji,Australia,070700,0,2019,M01,Kilograms,0
1524,"Hong Kong, China",Australia,070700,0,2019,M01,Kilograms,1
1525,Malaysia,Australia,070700,0,2019,M01,Kilograms,3
1526,Nauru,Australia,070700,0,2019,M01,Kilograms,0
1527,New Zealand,Australia,070700,0,2019,M01,Kilograms,0
1528,Papua New Guinea,Australia,070700,1740,2019,M02,Kilograms,1
1529,Saudi Arabia,Australia,070700,540,2019,M02,Kilograms,0
1530,Singapore,Australia,070700,5040,2019,M02,Kilograms,0
1531,Fiji,Australia,070700,0,2019,M02,Kilograms,0
1532,"Hong Kong, China",Australia,070700,0,2019,M02,Kilograms,1
1533,Malaysia,Australia,070700,7460,2019,M02,Kilograms,3
1534,Nauru,Australia,070700,0,2019,M02,Kilograms,0
1535,New Zealand,Australia,070700,0,2019,M02,Kilograms,0
1536,Papua New Guinea,Australia,070700,12880,2019,M03,Kilograms,1
1537,Saudi Arabia,Australia,070700,0,2019,M03,Kilograms,0
1538,Singapore,Australia,070700,4991,2019,M03,Kilograms,0
1539,Fiji,Australia,070700,0,2019,M03,Kilograms,0
1540,"Hong Kong, China",Australia,070700,0,2019,M03,Kilograms,1
1541,Malaysia,Australia,070700,0,2019,M03,Kilograms,3
1542,Nauru,Australia,070700,0,2019,M03,Kilograms,1
1543,New Zealand,Australia,070700,0,2019,M03,Kilograms,0
1544,Papua New Guinea,Australia,070700,16033,2019,M04,Kilograms,1
1545,Saudi Arabia,Australia,070700,540,2019,M04,Kilograms,0
1546,Singapore,Australia,070700,11393,2019,M04,Kilograms,0
1547,Fiji,Australia,070700,0,2019,M04,Kilograms,0
1548,"Hong Kong, China",Australia,070700,0,2019,M04,Kilograms,2
1549,Malaysia,Australia,070700,20100,2019,M04,Kilograms,2
1550,Nauru,Australia,070700,0,2019,M04,Kilograms,1
1551,New Zealand,Australia,070700,0,2019,M04,Kilograms,0
1552,Papua New Guinea,Australia,070700,13400,2019,M05,Kilograms,1
1553,Saudi Arabia,Australia,070700,0,2019,M05,Kilograms,0
1554,Singapore,Australia,070700,15120,2019,M05,Kilograms,0
1555,Fiji,Australia,070700,0,2019,M05,Kilograms,0
1556,"Hong Kong, China",Australia,070700,0,2019,M05,Kilograms,1
1557,Malaysia,Australia,070700,0,2019,M05,Kilograms,3
1558,Nauru,Australia,070700,0,2019,M05,Kilograms,2
1559,New Zealand,Australia,070700,0,2019,M05,Kilograms,37
1560,Papua New Guinea,Australia,070700,5370,2019,M06,Kilograms,0
1561,Saudi Arabia,Australia,070700,0,2019,M06,Kilograms,0
1562,Singapore,Australia,070700,10080,2019,M06,Kilograms,0
1563,Fiji,Australia,070700,0,2019,M06,Kilograms,0
1564,"Hong Kong, China",Australia,070700,0,2019,M06,Kilograms,2
1565,Malaysia,Australia,070700,0,2019,M06,Kilograms,2
1566,Nauru,Australia,070700,810,2019,M06,Kilograms,2
1567,New Zealand,Australia,070700,0,2019,M06,Kilograms,70
1568,Papua New Guinea,Australia,070700,6876,2019,M07,Kilograms,1
1569,Saudi Arabia,Australia,070700,0,2019,M07,Kilograms,0
1570,Singapore,Australia,070700,3780,2019,M07,Kilograms,0
1571,Fiji,Australia,070700,0,2019,M07,Kilograms,1
1572,"Hong Kong, China",Australia,070700,0,2019,M07,Kilograms,14
1573,Malaysia,Australia,070700,24000,2019,M07,Kilograms,2
1574,Nauru,Australia,070700,0,2019,M07,Kilograms,2
1575,New Zealand,Australia,070700,0,2019,M07,Kilograms,45
1576,Papua New Guinea,Australia,070700,3600,2019,M08,Kilograms,1
1577,Saudi Arabia,Australia,070700,2043,2019,M08,Kilograms,0
1578,Singapore,Australia,070700,0,2019,M08,Kilograms,0
1579,Fiji,Australia,070700,0,2019,M08,Kilograms,0
1580,"Hong Kong, China",Australia,070700,0,2019,M08,Kilograms,5
1581,Malaysia,Australia,070700,0,2019,M08,Kilograms,2
1582,Nauru,Australia,070700,810,2019,M08,Kilograms,2
1583,New Zealand,Australia,070700,0,2019,M08,Kilograms,47
1584,Papua New Guinea,Australia,070700,12091,2019,M09,Kilograms,1
1585,Saudi Arabia,Australia,070700,0,2019,M09,Kilograms,0
1586,Singapore,Australia,070700,8820,2019,M09,Kilograms,1
1587,Fiji,Australia,070700,0,2019,M09,Kilograms,0
1588,"Hong Kong, China",Australia,070700,2772,2019,M09,Kilograms,2
1589,Malaysia,Australia,070700,24000,2019,M09,Kilograms,2
1590,Nauru,Australia,070700,0,2019,M09,Kilograms,1
1591,New Zealand,Australia,070700,0,2019,M09,Kilograms,0
1592,Papua New Guinea,Australia,070700,8484,2019,M10,Kilograms,1
1593,Saudi Arabia,Australia,070700,450,2019,M10,Kilograms,0
1594,Singapore,Australia,070700,1260,2019,M10,Kilograms,0
1595,Fiji,Australia,070700,0,2019,M10,Kilograms,0
1596,"Hong Kong, China",Australia,070700,0,2019,M10,Kilograms,2
1597,Malaysia,Australia,070700,0,2019,M10,Kilograms,2
1598,Nauru,Australia,070700,0,2019,M10,Kilograms,2
1599,New Zealand,Australia,070700,0,2019,M10,Kilograms,0
1600,Papua New Guinea,Australia,070700,14325,2019,M11,Kilograms,1
1601,Saudi Arabia,Australia,070700,0,2019,M11,Kilograms,0
1602,Singapore,Australia,070700,6300,2019,M11,Kilograms,0
1603,Fiji,Australia,070700,0,2019,M11,Kilograms,0
1604,"Hong Kong, China",Australia,070700,0,2019,M11,Kilograms,6
1605,Malaysia,Australia,070700,24000,2019,M11,Kilograms,2
1606,Nauru,Australia,070700,0,2019,M11,Kilograms,2
1607,New Zealand,Australia,070700,0,2019,M11,Kilograms,0
1608,Papua New Guinea,Australia,070700,2694,2019,M12,Kilograms,1
1609,Saudi Arabia,Australia,070700,0,2019,M12,Kilograms,0
1610,Singapore,Australia,070700,10080,2019,M12,Kilograms,2
1611,Fiji,Australia,070700,0,2019,M12,Kilograms,0
1612,"Hong Kong, China",Australia,070700,0,2019,M12,Kilograms,3
1613,Malaysia,Australia,070700,0,2019,M12,Kilograms,2
1614,Nauru,Australia,070700,540,2019,M12,Kilograms,2
1615,New Zealand,Australia,070700,91,2019,M12,Kilograms,0
1616,Papua New Guinea,Australia,070700,0,2020,M01,Kilograms,1
1617,Saudi Arabia,Australia,070700,0,2020,M01,Kilograms,0
1618,Singapore,Australia,070700,6552,2020,M01,Kilograms,0
1619,Fiji,Australia,070700,0,2020,M01,Kilograms,0
1620,"Hong Kong, China",Australia,070700,0,2020,M01,Kilograms,3
1621,Malaysia,Australia,070700,0,2020,M01,Kilograms,2
1622,Nauru,Australia,070700,0,2020,M01,Kilograms,2
1623,New Zealand,Australia,070700,0,2020,M01,Kilograms,0
1624,Papua New Guinea,Australia,070700,1831,2020,M02,Kilograms,1
1625,Saudi Arabia,Australia,070700,0,2020,M02,Kilograms,0
1626,Singapore,Australia,070700,0,2020,M02,Kilograms,0
1627,Fiji,Australia,070700,0,2020,M02,Kilograms,0
1628,"Hong Kong, China",Australia,070700,0,2020,M02,Kilograms,10
1629,Malaysia,Australia,070700,4400,2020,M02,Kilograms,2
1630,Nauru,Australia,070700,1400,2020,M02,Kilograms,2
1631,New Zealand,Australia,070700,275,2020,M02,Kilograms,0
1632,Papua New Guinea,Australia,070700,13999,2020,M03,Kilograms,0
1633,Saudi Arabia,Australia,070700,0,2020,M03,Kilograms,0
1634,Singapore,Australia,070700,0,2020,M03,Kilograms,0
1635,Fiji,Australia,070700,0,2020,M03,Kilograms,0
1636,"Hong Kong, China",Australia,070700,0,2020,M03,Kilograms,7
1637,Malaysia,Australia,070700,0,2020,M03,Kilograms,2
1638,Nauru,Australia,070700,0,2020,M03,Kilograms,2
1639,New Zealand,Australia,070700,0,2020,M03,Kilograms,0
1640,Papua New Guinea,Australia,071010,0,2018,M08,No Quantity,8
1641,Papua New Guinea,Australia,071010,0,2018,M09,No Quantity,7
1642,Papua New Guinea,Australia,071010,0,2018,M10,No Quantity,13
1643,Papua New Guinea,Australia,071010,0,2018,M11,No Quantity,1
1644,Papua New Guinea,Australia,071010,0,2018,M12,No Quantity,10
1645,Papua New Guinea,Australia,071010,160,2019,M01,Kilograms,10
1646,Papua New Guinea,Australia,071010,0,2019,M02,No Quantity,2
1647,Papua New Guinea,Australia,071010,0,2019,M03,No Quantity,17
1648,Papua New Guinea,Australia,071010,160,2019,M04,Kilograms,31
1649,Papua New Guinea,Australia,071010,0,2019,M05,No Quantity,12
1650,Papua New Guinea,Australia,071010,0,2019,M06,No Quantity,4
1651,Papua New Guinea,Australia,071010,160,2019,M07,Kilograms,21
1652,Papua New Guinea,Australia,071010,0,2019,M08,No Quantity,7
1653,Papua New Guinea,Australia,071010,160,2019,M09,Kilograms,37
1654,Papua New Guinea,Australia,071010,0,2019,M10,No Quantity,10
1655,Papua New Guinea,Australia,071010,0,2019,M11,Kilograms,19
1656,Papua New Guinea,Australia,071010,0,2019,M12,No Quantity,3
1657,Papua New Guinea,Australia,071010,0,2020,M01,No Quantity,0
1658,Papua New Guinea,Australia,071010,0,2020,M02,No Quantity,4
1659,Papua New Guinea,Australia,071010,0,2020,M03,No Quantity,19
1660,Singapore,Australia,080390,139098,2018,M08,Kilograms,3
1661,"Hong Kong, China",Australia,080390,44774,2018,M08,Kilograms,3
1662,Fiji,Australia,080390,3226,2018,M08,Kilograms,0
1663,Nauru,Australia,080390,0,2018,M08,Kilograms,0
1664,Japan,Australia,080390,0,2018,M08,Kilograms,11
1665,United Arab Emirates,Australia,080390,0,2018,M08,Kilograms,0
1666,Singapore,Australia,080390,119342,2018,M09,Kilograms,4
1667,"Hong Kong, China",Australia,080390,17046,2018,M09,Kilograms,3
1668,Fiji,Australia,080390,2950,2018,M09,Kilograms,0
1669,Nauru,Australia,080390,0,2018,M09,Kilograms,0
1670,Japan,Australia,080390,0,2018,M09,Kilograms,0
1671,United Arab Emirates,Australia,080390,0,2018,M09,Kilograms,0
1672,Singapore,Australia,080390,90356,2018,M10,Kilograms,2
1673,"Hong Kong, China",Australia,080390,17463,2018,M10,Kilograms,3
1674,Fiji,Australia,080390,810,2018,M10,Kilograms,0
1675,Nauru,Australia,080390,0,2018,M10,Kilograms,0
1676,Japan,Australia,080390,0,2018,M10,Kilograms,11
1677,United Arab Emirates,Australia,080390,3540,2018,M10,Kilograms,0
1678,Singapore,Australia,080390,109590,2018,M11,Kilograms,0
1679,"Hong Kong, China",Australia,080390,28239,2018,M11,Kilograms,2
1680,Fiji,Australia,080390,550,2018,M11,Kilograms,0
1681,Nauru,Australia,080390,0,2018,M11,Kilograms,0
1682,Japan,Australia,080390,0,2018,M11,Kilograms,11
1683,United Arab Emirates,Australia,080390,0,2018,M11,Kilograms,0
1684,Singapore,Australia,080390,86260,2018,M12,Kilograms,0
1685,"Hong Kong, China",Australia,080390,17027,2018,M12,Kilograms,2
1686,Fiji,Australia,080390,930,2018,M12,Kilograms,0
1687,Nauru,Australia,080390,0,2018,M12,Kilograms,0
1688,Japan,Australia,080390,1081,2018,M12,Kilograms,0
1689,United Arab Emirates,Australia,080390,155,2018,M12,Kilograms,0
1690,Singapore,Australia,080390,115668,2019,M01,Kilograms,0
1691,"Hong Kong, China",Australia,080390,13589,2019,M01,Kilograms,1
1692,Fiji,Australia,080390,431,2019,M01,Kilograms,0
1693,Nauru,Australia,080390,0,2019,M01,Kilograms,0
1694,Japan,Australia,080390,1122,2019,M01,Kilograms,11
1695,United Arab Emirates,Australia,080390,250,2019,M01,Kilograms,0
1696,Singapore,Australia,080390,92773,2019,M02,Kilograms,0
1697,"Hong Kong, China",Australia,080390,12861,2019,M02,Kilograms,2
1698,Fiji,Australia,080390,360,2019,M02,Kilograms,0
1699,Nauru,Australia,080390,0,2019,M02,Kilograms,0
1700,Japan,Australia,080390,0,2019,M02,Kilograms,0
1701,United Arab Emirates,Australia,080390,0,2019,M02,Kilograms,0
1702,Singapore,Australia,080390,61227,2019,M03,Kilograms,0
1703,"Hong Kong, China",Australia,080390,19738,2019,M03,Kilograms,2
1704,Fiji,Australia,080390,400,2019,M03,Kilograms,0
1705,Nauru,Australia,080390,0,2019,M03,Kilograms,3
1706,Japan,Australia,080390,1111,2019,M03,Kilograms,0
1707,United Arab Emirates,Australia,080390,0,2019,M03,Kilograms,0
1708,Singapore,Australia,080390,98926,2019,M04,Kilograms,0
1709,"Hong Kong, China",Australia,080390,23636,2019,M04,Kilograms,3
1710,Fiji,Australia,080390,680,2019,M04,Kilograms,0
1711,Nauru,Australia,080390,0,2019,M04,Kilograms,2
1712,Japan,Australia,080390,0,2019,M04,Kilograms,12
1713,United Arab Emirates,Australia,080390,0,2019,M04,Kilograms,0
1714,Singapore,Australia,080390,129903,2019,M05,Kilograms,0
1715,"Hong Kong, China",Australia,080390,51263,2019,M05,Kilograms,2
1716,Fiji,Australia,080390,480,2019,M05,Kilograms,0
1717,Nauru,Australia,080390,0,2019,M05,Kilograms,3
1718,Japan,Australia,080390,0,2019,M05,Kilograms,8
1719,United Arab Emirates,Australia,080390,0,2019,M05,Kilograms,2
1720,Singapore,Australia,080390,134843,2019,M06,Kilograms,0
1721,"Hong Kong, China",Australia,080390,78201,2019,M06,Kilograms,2
1722,Fiji,Australia,080390,3930,2019,M06,Kilograms,0
1723,Nauru,Australia,080390,0,2019,M06,Kilograms,3
1724,Japan,Australia,080390,0,2019,M06,Kilograms,12
1725,United Arab Emirates,Australia,080390,0,2019,M06,Kilograms,0
1726,Singapore,Australia,080390,150476,2019,M07,Kilograms,0
1727,"Hong Kong, China",Australia,080390,84539,2019,M07,Kilograms,2
1728,Fiji,Australia,080390,3067,2019,M07,Kilograms,0
1729,Nauru,Australia,080390,0,2019,M07,Kilograms,2
1730,Japan,Australia,080390,0,2019,M07,Kilograms,0
1731,United Arab Emirates,Australia,080390,800,2019,M07,Kilograms,0
1732,Singapore,Australia,080390,211121,2019,M08,Kilograms,0
1733,"Hong Kong, China",Australia,080390,90391,2019,M08,Kilograms,3
1734,Fiji,Australia,080390,5172,2019,M08,Kilograms,0
1735,Nauru,Australia,080390,0,2019,M08,Kilograms,3
1736,Japan,Australia,080390,0,2019,M08,Kilograms,11
1737,United Arab Emirates,Australia,080390,2245,2019,M08,Kilograms,0
1738,Singapore,Australia,080390,212044,2019,M09,Kilograms,0
1739,"Hong Kong, China",Australia,080390,92920,2019,M09,Kilograms,1
1740,Fiji,Australia,080390,2270,2019,M09,Kilograms,0
1741,Nauru,Australia,080390,140,2019,M09,Kilograms,2
1742,Japan,Australia,080390,11088,2019,M09,Kilograms,11
1743,United Arab Emirates,Australia,080390,1210,2019,M09,Kilograms,0
1744,Singapore,Australia,080390,168194,2019,M10,Kilograms,0
1745,"Hong Kong, China",Australia,080390,81422,2019,M10,Kilograms,1
1746,Fiji,Australia,080390,1583,2019,M10,Kilograms,0
1747,Nauru,Australia,080390,141,2019,M10,Kilograms,2
1748,Japan,Australia,080390,10396,2019,M10,Kilograms,15
1749,United Arab Emirates,Australia,080390,770,2019,M10,Kilograms,0
1750,Singapore,Australia,080390,179583,2019,M11,Kilograms,0
1751,"Hong Kong, China",Australia,080390,54278,2019,M11,Kilograms,1
1752,Fiji,Australia,080390,849,2019,M11,Kilograms,0
1753,Nauru,Australia,080390,198,2019,M11,Kilograms,2
1754,Japan,Australia,080390,5544,2019,M11,Kilograms,0
1755,United Arab Emirates,Australia,080390,0,2019,M11,Kilograms,0
1756,Singapore,Australia,080390,130269,2019,M12,Kilograms,0
1757,"Hong Kong, China",Australia,080390,56057,2019,M12,Kilograms,1
1758,Fiji,Australia,080390,430,2019,M12,Kilograms,0
1759,Nauru,Australia,080390,178,2019,M12,Kilograms,2
1760,Japan,Australia,080390,10396,2019,M12,Kilograms,17
1761,United Arab Emirates,Australia,080390,0,2019,M12,Kilograms,0
1762,Singapore,Australia,080390,44566,2020,M01,Kilograms,0
1763,"Hong Kong, China",Australia,080390,21067,2020,M01,Kilograms,1
1764,Fiji,Australia,080390,401,2020,M01,Kilograms,0
1765,Nauru,Australia,080390,114,2020,M01,Kilograms,2
1766,Japan,Australia,080390,2772,2020,M01,Kilograms,0
1767,United Arab Emirates,Australia,080390,0,2020,M01,Kilograms,0
1768,Singapore,Australia,080390,55705,2020,M02,Kilograms,0
1769,"Hong Kong, China",Australia,080390,27537,2020,M02,Kilograms,1
1770,Fiji,Australia,080390,880,2020,M02,Kilograms,0
1771,Nauru,Australia,080390,198,2020,M02,Kilograms,2
1772,Japan,Australia,080390,2772,2020,M02,Kilograms,0
1773,United Arab Emirates,Australia,080390,0,2020,M02,Kilograms,0
1774,Singapore,Australia,080390,74478,2020,M03,Kilograms,0
1775,"Hong Kong, China",Australia,080390,33013,2020,M03,Kilograms,1
1776,Fiji,Australia,080390,420,2020,M03,Kilograms,2
1777,Nauru,Australia,080390,144,2020,M03,Kilograms,2
1778,Japan,Australia,080390,0,2020,M03,Kilograms,0
1779,United Arab Emirates,Australia,080390,0,2020,M03,Kilograms,0
1780,United Arab Emirates,Australia,080440,0,2018,M08,Kilograms,0
1781,Lebanon,Australia,080440,0,2018,M08,Kilograms,0
1782,Qatar,Australia,080440,0,2018,M08,Kilograms,2
1783,Kuwait,Australia,080440,0,2018,M08,Kilograms,0
1784,Saudi Arabia,Australia,080440,0,2018,M08,Kilograms,0
1785,"Hong Kong, China",Australia,080440,0,2018,M08,Kilograms,192
1786,Oman,Australia,080440,0,2018,M08,Kilograms,0
1787,Singapore,Australia,080440,42,2018,M08,Kilograms,501
1788,Bahrain,Australia,080440,0,2018,M08,Kilograms,0
1789,Bangladesh,Australia,080440,0,2018,M08,Kilograms,0
1790,Brunei Darussalam,Australia,080440,0,2018,M08,Kilograms,9
1791,Canada,Australia,080440,0,2018,M08,Kilograms,0
1792,Nauru,Australia,080440,0,2018,M08,Kilograms,0
1793,Malaysia,Australia,080440,0,2018,M08,Kilograms,557
1794,Japan,Australia,080440,0,2018,M08,Kilograms,0
1795,United Arab Emirates,Australia,080440,30851,2018,M09,Kilograms,0
1796,Lebanon,Australia,080440,703,2018,M09,Kilograms,0
1797,Qatar,Australia,080440,6870,2018,M09,Kilograms,2
1798,Kuwait,Australia,080440,9485,2018,M09,Kilograms,0
1799,Saudi Arabia,Australia,080440,6983,2018,M09,Kilograms,1
1800,"Hong Kong, China",Australia,080440,6396,2018,M09,Kilograms,86
1801,Oman,Australia,080440,0,2018,M09,Kilograms,0
1802,Singapore,Australia,080440,13857,2018,M09,Kilograms,509
1803,Bahrain,Australia,080440,0,2018,M09,Kilograms,0
1804,Bangladesh,Australia,080440,0,2018,M09,Kilograms,0
1805,Brunei Darussalam,Australia,080440,0,2018,M09,Kilograms,7
1806,Canada,Australia,080440,7607,2018,M09,Kilograms,0
1807,Nauru,Australia,080440,0,2018,M09,Kilograms,0
1808,Malaysia,Australia,080440,0,2018,M09,Kilograms,592
1809,Japan,Australia,080440,0,2018,M09,Kilograms,0
1810,United Arab Emirates,Australia,080440,114905,2018,M10,Kilograms,5
1811,Lebanon,Australia,080440,3214,2018,M10,Kilograms,0
1812,Qatar,Australia,080440,41007,2018,M10,Kilograms,2
1813,Kuwait,Australia,080440,27568,2018,M10,Kilograms,1
1814,Saudi Arabia,Australia,080440,65799,2018,M10,Kilograms,1
1815,"Hong Kong, China",Australia,080440,218527,2018,M10,Kilograms,78
1816,Oman,Australia,080440,8190,2018,M10,Kilograms,1
1817,Singapore,Australia,080440,284236,2018,M10,Kilograms,391
1818,Bahrain,Australia,080440,1630,2018,M10,Kilograms,9
1819,Bangladesh,Australia,080440,1025,2018,M10,Kilograms,0
1820,Brunei Darussalam,Australia,080440,1230,2018,M10,Kilograms,8
1821,Canada,Australia,080440,42130,2018,M10,Kilograms,0
1822,Nauru,Australia,080440,0,2018,M10,Kilograms,0
1823,Malaysia,Australia,080440,0,2018,M10,Kilograms,444
1824,Japan,Australia,080440,0,2018,M10,Kilograms,0
1825,United Arab Emirates,Australia,080440,229370,2018,M11,Kilograms,0
1826,Lebanon,Australia,080440,31353,2018,M11,Kilograms,0
1827,Qatar,Australia,080440,49544,2018,M11,Kilograms,2
1828,Kuwait,Australia,080440,45443,2018,M11,Kilograms,5
1829,Saudi Arabia,Australia,080440,50355,2018,M11,Kilograms,2
1830,"Hong Kong, China",Australia,080440,678769,2018,M11,Kilograms,139
1831,Oman,Australia,080440,13969,2018,M11,Kilograms,0
1832,Singapore,Australia,080440,589967,2018,M11,Kilograms,516
1833,Bahrain,Australia,080440,2558,2018,M11,Kilograms,0
1834,Bangladesh,Australia,080440,9133,2018,M11,Kilograms,0
1835,Brunei Darussalam,Australia,080440,1374,2018,M11,Kilograms,7
1836,Canada,Australia,080440,68308,2018,M11,Kilograms,0
1837,Nauru,Australia,080440,0,2018,M11,Kilograms,0
1838,Malaysia,Australia,080440,13006,2018,M11,Kilograms,467
1839,Japan,Australia,080440,2739,2018,M11,Kilograms,0
1840,United Arab Emirates,Australia,080440,229766,2018,M12,Kilograms,1
1841,Lebanon,Australia,080440,164726,2018,M12,Kilograms,0
1842,Qatar,Australia,080440,48966,2018,M12,Kilograms,1
1843,Kuwait,Australia,080440,66936,2018,M12,Kilograms,0
1844,Saudi Arabia,Australia,080440,112610,2018,M12,Kilograms,0
1845,"Hong Kong, China",Australia,080440,690127,2018,M12,Kilograms,87
1846,Oman,Australia,080440,16921,2018,M12,Kilograms,0
1847,Singapore,Australia,080440,772946,2018,M12,Kilograms,322
1848,Bahrain,Australia,080440,14603,2018,M12,Kilograms,0
1849,Bangladesh,Australia,080440,21457,2018,M12,Kilograms,0
1850,Brunei Darussalam,Australia,080440,1482,2018,M12,Kilograms,7
1851,Canada,Australia,080440,37456,2018,M12,Kilograms,0
1852,Nauru,Australia,080440,0,2018,M12,Kilograms,0
1853,Malaysia,Australia,080440,0,2018,M12,Kilograms,530
1854,Japan,Australia,080440,19150,2018,M12,Kilograms,6
1855,United Arab Emirates,Australia,080440,258374,2019,M01,Kilograms,1
1856,Lebanon,Australia,080440,122368,2019,M01,Kilograms,0
1857,Qatar,Australia,080440,45704,2019,M01,Kilograms,1
1858,Kuwait,Australia,080440,68598,2019,M01,Kilograms,0
